# Generated by G. Mace on Thu Feb  9 16:34:12 2017
# Uncertainty is the standard deviation of all epochs.
#======================================================
# Wavelength         Norm. Flux          Uncertainty   
#  (microns)          (counts)            (counts)     
#======================================================
       1.8939373       1.9180853      0.57104860
       1.8939440       1.7090235      0.57957641
       1.8939508       1.3851889      0.59776213
       1.8939575       1.1827481      0.65067980
       1.8939642       1.1456066      0.72808987
       1.8939710       1.2317036      0.77227117
       1.8939777       1.3407589      0.74772204
       1.8939844       1.4733565      0.64937093
       1.8939911       1.6194984      0.51305727
       1.8939979       1.7523707      0.37509704
       1.8940046       1.8447663      0.24650109
       1.8940113       1.8894766      0.16860048
       1.8940180       1.9387852      0.14926467
       1.8940248       1.9211315      0.18529207
       1.8940315       1.8160060      0.24392983
       1.8940382       1.6457027      0.31496646
       1.8940450       1.4720434      0.40609775
       1.8940517       1.3520722      0.51169209
       1.8940584       1.2266661      0.61306895
       1.8940651       1.1282168      0.68609470
       1.8940718       1.0284059      0.71380588
       1.8940786      0.92831945      0.69600512
       1.8940853      0.86162390      0.65217970
       1.8940920      0.86258941      0.61039959
       1.8940987      0.96489783      0.59238615
       1.8941055       1.1282379      0.60442703
       1.8941122       1.2890462      0.63788995
       1.8941189       1.3967081      0.68088184
       1.8941256       1.4480220      0.72329252
       1.8941323       1.4599997      0.75884862
       1.8941391       1.4443570      0.78049818
       1.8941458       1.4077524      0.78555335
       1.8941525       1.3602229      0.77494014
       1.8941592       1.2980836      0.74989361
       1.8941659       1.2152908      0.71000923
       1.8941727       1.1081716      0.65477172
       1.8941794      0.98115297      0.58510651
       1.8941861      0.84151987      0.50182032
       1.8941928      0.69468560      0.40979368
       1.8941995      0.54606339      0.32432422
       1.8942062      0.40106649      0.26007264
       1.8942130      0.27120781      0.19287935
       1.8942197      0.18418322      0.13278851
       1.8942264      0.10859757      0.10538314
       1.8942331     0.050509460      0.12190986
       1.8942398     0.010559083      0.16208873
       1.8942465    0.0031001724      0.18710104
       1.8942532     0.010676249      0.20565957
       1.8942599     0.049355017      0.21422918
       1.8942667      0.15734543      0.21888821
       1.8942734      0.32109909      0.23207335
       1.8942801      0.46118864      0.26104633
       1.8942868      0.57350990      0.30009248
